index,duration_sec,start_time,end_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bike_id,user_type,member_birth_year,member_gender,bike_share_for_all_trip,duration_min,duration_hr,member_age,month,date,day,hour,timeofweek,dayperiod,member_age_group,zip
1503473,521,2018-10-15 16:27:40.0390,2018-10-15 16:36:21.081,17.0,Embarcadero BART Station (Beale St at Market St),37.792251,-122.39708600000002,30.0,San Francisco Caltrain (Townsend St at 4th St),37.776598,-122.39528200000001,1498,Subscriber,1981.0,Female,No,8.68,0.14,38,October,15,Monday,16,Weekday,Afternoon,Adult,94105
1513272,271,2018-10-13 15:18:45.5300,2018-10-13 15:23:17.200,243.0,Bancroft Way at College Ave,37.8693603,-122.25433740000001,269.0,Telegraph Ave at Carleton St,37.862319899999996,-122.258801,3347,Subscriber,1998.0,Male,No,4.52,0.08,21,October,13,Saturday,15,Weekend,Afternoon,Young Adult,94720
1583975,601,2018-10-02 21:13:23.0100,2018-10-02 21:23:24.822,44.0,Civic Center/UN Plaza BART Station (Market St at McAllister St),37.7810737,-122.4117382,26.0,1st St at Folsom St,37.787290000000006,-122.39438,2740,Subscriber,1972.0,Male,No,10.02,0.17,47,October,02,Tuesday,21,Weekday,Evening,Adult,94103
986116,418,2018-07-06 18:02:58.1210,2018-07-06 18:09:56.520,42.0,San Francisco City Hall (Polk St at Grove St),37.77865,-122.41823000000001,74.0,Laguna St at Hayes St,37.77643481920474,-122.42624402046205,2735,Subscriber,1990.0,Male,No,6.97,0.12,29,July,06,Friday,18,Weekday,Afternoon,Young Adult,94102
683196,110,2018-06-22 07:09:59.9680,2018-06-22 07:11:50.365,37.0,2nd St at Folsom St,37.78499972833808,-122.39593561749642,343.0,Bryant St at 2nd St,37.783171989315306,-122.39357203245164,1587,Subscriber,1973.0,Male,No,1.83,0.03,46,June,22,Friday,7,Weekday,Morning,Adult,94107
185141,605,2018-02-05 12:47:20.6340,2018-02-05 12:57:25.755,167.0,College Ave at Harwood Ave,37.848152,-122.25215990000001,175.0,49th St at Telegraph Ave,37.8359455,-122.2623663,3584,Subscriber,1947.0,Male,No,10.08,0.17,72,February,05,Monday,12,Weekday,Morning,Senior,94618
664567,916,2018-06-25 09:21:44.2080,2018-06-25 09:37:00.552,76.0,McCoppin St at Valencia St,37.77166246221617,-122.42242321372034,5.0,Powell St BART Station (Market St at 5th St),37.78389935708493,-122.40844488143921,3663,Subscriber,1977.0,Male,No,15.27,0.25,42,June,25,Monday,9,Weekday,Morning,Adult,94103
1287988,199,2018-09-18 22:38:56.0780,2018-09-18 22:42:15.891,198.0,Snow Park,37.80781318217903,-122.26449608802795,195.0,Bay Pl at Vernon St,37.81231409135146,-122.26077854633331,378,Subscriber,1974.0,Male,No,3.32,0.06,45,September,18,Tuesday,22,Weekday,Evening,Adult,94612
715477,604,2018-06-17 14:43:14.4010,2018-06-17 14:53:18.649,146.0,30th St at San Jose Ave,37.7423139,-122.42318049999999,98.0,Valencia St at 16th St,37.765052000000004,-122.42186609999999,115,Subscriber,1951.0,Male,Yes,10.07,0.17,68,June,17,Sunday,14,Weekend,Afternoon,Senior,94110
37798,352,2018-01-21 17:39:59.9310,2018-01-21 17:45:52.214,178.0,Broadway at 30th St,37.819381400000005,-122.2619284,216.0,San Pablo Ave at 27th St,37.8178269,-122.2756976,3428,Subscriber,1989.0,Male,No,5.87,0.1,30,January,21,Sunday,17,Weekend,Afternoon,Young Adult,94611
